1450.2	300.382	29.304	-14.001	-4.470	-17.092
1456.8	434.115	68.364	44.920	-9.691	-19.235
1463.2 	496.643	54.420	52.968	-12.282	-4.047
1469.8 	549.032	23.331	53.547	11.748	9.741
1479.5	1277.640	111.258	49.390	-9.034	-49.627
1492.5	1329.360	131.958	-23.574	8.443	-92.103
1505.5	1466.640	203.069	-57.099	-31.691	-69.441
1518.5	1531.590	204.971	-132.569	-19.244	6.864
1531.5	1587.570	220.300	-94.350	-68.671	17.392
1544.5	1596.180	261.441	-202.653	-72.122	-62.119 
1557.5	1568.940	271.070	-229.395	-94.934	13.390
1570.5	1434.450	244.342	-291.041	-130.754	10.56
